,Unnamed: 0,Date,Time,Temperature,Pression,RAW465,RAW540,RAW619,Altitude,Latitude,Longitude,Elevation,AOT465,AOT540,AOT619,Alpha,RÂ²,Datetime,N,E,sza_rad,air_mass,day_of_year,E0,precalibrated_AOT465,precalibrated_AOT540,precalibrated_AOT619,tau_aerosols_465_calitoo,tau_aerosols_540_calitoo,tau_aerosols_619_calitoo,tau_aerosols_465_expected,tau_aerosols_540_expected,tau_aerosols_619_expected
0,0,2024-06-04,08:27:17,23,841,2596.219535124041,2804.329196272873,2244.905701204478,01571,4648.80323N,00950.64761E,48.2,-0.05239638478428418,-0.02115724985750788,-0.006850530563221938,0.38,0.4,2024-06-04 08:27:17,46.813387166666665,9.844126833333334,0.7295476273336297,1.3414248083444893,156,0.9706421070742004,0.0496,0.0418,0.0446,-0.02152702926838354,0.00396728766080214,0.006482996916995883,0.006169093093587041,0.016481567137990115,0.022609950303316275
1,1,2024-06-04,08:27:30,24,841,2604.4615019022126,2812.571163051045,2257.268651371736,0000M,4648.80283N,00950.64590E,48.3,-0.054540749954694906,-0.02319561266649576,-0.010839822906149158,0.55,0.67,2024-06-04 08:27:30,46.8133805,9.844098333333331,0.7278022980816354,1.3393368082771917,156,0.9706421070742004,0.0473,0.0397,0.0406,-0.02362326971318654,0.001968093517757624,0.0025144912844046706,0.004116030365545281,0.014501882513558875,0.018666586277785984
2,2,2024-06-04,08:27:41,24,841,2609.61273113857,2810.510671356501,2262.419880608093,01568,4648.80336N,00950.64453E,48.3,-0.05601602840796863,-0.02264842452746737,-0.01254175704240797,0.58,0.92,2024-06-04 08:27:41,46.81338933333333,9.8440755,0.7278022980816354,1.3393368082771917,156,0.9706421070742004,0.0459,0.0403,0.0389,-0.02509854816646029,0.002515281656786,0.0008125571481458586,0.002640751912271533,0.015049070652587251,0.016964652141527172
3,3,2024-06-04,09:00:02,24,841,2637.429369014899,2834.2063258437447,2274.7828307753502,01618,4648.79158N,00950.68573E,53.3,-0.054260912872932665,-0.02225203613129164,-0.012061673155037731,0.77,0.89,2024-06-04 09:00:02,46.813193,9.844762166666667,0.640535835481919,1.2472317002634994,156,0.9706421070742004,0.0528,0.0441,0.0424,-0.021060249918417817,0.004769950174959769,0.0022788255196900357,0.008727531793226356,0.018229329812047022,0.01962371448527275
4,4,2024-06-04,09:00:23,24,841,2659.0645318075995,2850.690259400088,2280.964305858979,01617,4648.79129N,00950.68326E,53.4,-0.0606369134151486,-0.026781814729935273,-0.014154330212166336,0.5,0.66,2024-06-04 09:00:23,46.81318816666667,9.844721,0.6387905062299246,1.2456131448333825,156,0.9706421070742004,0.0464,0.0395,0.0403,-0.02739310936700337,0.0002752840691875782,0.00020480257227424234,0.002433378724740032,0.013752152885871219,0.017572229566085448
5,5,2024-06-04,09:00:37,24,841,2651.852810876699,2835.2365716910163,2285.085289248065,01619,4648.79066N,00950.68560E,53.4,-0.05845661243341391,-0.022417874965620692,-0.015603459622222263,0.78,0.99,2024-06-04 09:00:37,46.81317766666667,9.84476,0.6387905062299246,1.2456131448333825,156,0.9706421070742004,0.0487,0.0439,0.0389,-0.02521280838526868,0.004639223833502159,-0.0012443268377816848,0.0046136797064747215,0.018116092650185787,0.01612310015602952
6,6,2024-06-04,09:35:14,23,841,2697.1836281566425,2880.56738897096,2309.81118958258,01616,4648.79352N,00950.67664E,58.3,-0.0647206943450847,-0.03012937203686924,-0.02101754650071003,0.91,0.96,2024-06-04 09:35:14,46.813225333333335,9.844610666666666,0.5532693728822026,1.1753490156903816,156,0.9706421070742004,0.0467,0.039,0.0361,-0.029489525769755637,-0.001454759240731818,-0.00580000319575286,0.002120034569620871,0.012827777031607554,0.012605674663872867
7,7,2024-06-04,09:35:40,24,841,2703.3651032402718,2904.263043458203,2301.569222804408,01613,4648.79351N,00950.67610E,58.3,-0.06666837419470795,-0.037099546556137,-0.017976216686977842,0.5,0.18,2024-06-04 09:35:40,46.81322516666667,9.844601666666666,0.5532693728822026,1.1753490156903816,156,0.9706421070742004,0.0449,0.0321,0.0392,-0.03143720561937888,-0.008424933759999568,-0.0027586733820206717,0.00017235471999765828,0.00585760251233979,0.015647004477605055
8,8,2024-06-04,09:35:53,24,841,2692.0323989202857,2886.7488640545885,2299.508731109865,01614,4648.79352N,00950.67560E,58.3,-0.06309421495580317,-0.031953190761890175,-0.01721418250309949,0.69,0.53,2024-06-04 09:35:53,46.813225333333335,9.844593333333334,0.5532693728822026,1.1753490156903816,156,0.9706421070742004,0.0485,0.0373,0.04,-0.02786304638047407,-0.003278577965752741,-0.00199663919814232,0.0037465139589024365,0.011003958306586617,0.016409038661483407
9,9,2024-06-18,06:30:43,22,845,1777.6822299015118,2032.8173320431,1677.487473190038,01618,4648.80054N,00950.67000E,28.7,0.07878121952767489,0.09847613478531976,0.10767959679559919,0.26,0.82,2024-06-18 06:30:43,46.81334233333333,9.8445,1.069886831472524,2.082363743807229,170,0.9681145319742256,0.1558,0.1453,0.1445,0.09866675558244989,0.1146609526517813,0.11626883803546342,0.1165081465218473,0.12272244767116933,0.1266575587475678
