CALITOO #2205-0425
------------------------------------------
CN0_465=3276;RAY_465=0.19490
CN0_540=3308;RAY_540=0.10637;OZ_540=0.0128
CN0_619=2515;RAY_619=0.06281;OZ_619=0.0154
----------------------------------------------------------------------
Date;Time;Temperature;Pression;RAW465;RAW540;RAW619;Altitude;Latitude;Longitude;Elevation;AOT465;AOT540;AOT619;Alpha;R²
2024-06-04;08:27:17;+23;0841;2520;2722;2179;01571;4648.80323N;00950.64761E;48.2;0.0496;0.0418;0.0446;0.38;0.40
2024-06-04;08:27:30;+24;0841;2528;2730;2191;0000M;4648.80283N;00950.64590E;48.3;0.0473;0.0397;0.0406;0.55;0.67
2024-06-04;08:27:41;+24;0841;2533;2728;2196;01568;4648.80336N;00950.64453E;48.3;0.0459;0.0403;0.0389;0.58;0.92
2024-06-04;09:00:02;+24;0841;2560;2751;2208;01618;4648.79158N;00950.68573E;53.3;0.0528;0.0441;0.0424;0.77;0.89
2024-06-04;09:00:23;+24;0841;2581;2767;2214;01617;4648.79129N;00950.68326E;53.4;0.0464;0.0395;0.0403;0.50;0.66
2024-06-04;09:00:37;+24;0841;2574;2752;2218;01619;4648.79066N;00950.68560E;53.4;0.0487;0.0439;0.0389;0.78;0.99
2024-06-04;09:35:14;+23;0841;2618;2796;2242;01616;4648.79352N;00950.67664E;58.3;0.0467;0.0390;0.0361;0.91;0.96
2024-06-04;09:35:40;+24;0841;2624;2819;2234;01613;4648.79351N;00950.67610E;58.3;0.0449;0.0321;0.0392;0.50;0.18
2024-06-04;09:35:53;+24;0841;2613;2802;2232;01614;4648.79352N;00950.67560E;58.3;0.0485;0.0373;0.0400;0.69;0.53
2024-06-18;06:30:43;+22;0845;1721;1968;1624;01618;4648.80054N;00950.67000E;28.7;0.1558;0.1453;0.1445;0.26;0.82
2024-06-18;06:31:00;+22;0845;1677;1917;1579;01617;4648.80067N;00950.66967E;28.8;0.1687;0.1583;0.1584;0.22;0.76
2024-06-18;06:31:19;+23;0845;1689;1931;1591;01616;4648.80064N;00950.66946E;28.8;0.1658;0.1552;0.1551;0.24;0.78
2024-06-18;07:02:19;+29;0844;2195;2471;2043;01616;4648.80153N;00950.66908E;34.2;0.0727;0.0589;0.0513;1.22;0.99
2024-06-18;07:02:32;+29;0844;2189;2466;2035;01618;4648.80068N;00950.66978E;34.2;0.0744;0.0602;0.0536;1.15;0.98
2024-06-18;07:02:45;+30;0844;2181;2458;2028;01619;4648.80031N;00950.66968E;34.2;0.0767;0.0622;0.0557;1.13;0.98
2024-06-18;07:35:10;+33;0844;2304;2562;2105;01610;4648.80113N;00950.67048E;39.8;0.0744;0.0581;0.0488;1.48;0.99
2024-06-18;07:35:26;+33;0844;2299;2555;2095;01609;4648.80084N;00950.67022E;39.8;0.0760;0.0600;0.0519;1.34;0.99
2024-06-18;07:35:46;+33;0844;2302;2562;2102;01609;4648.80052N;00950.66998E;39.9;0.0755;0.0584;0.0499;1.45;0.99
2024-06-18;08:03:45;+34;0844;2275;2510;2051;01615;4648.80111N;00950.67001E;44.6;0.1064;0.0880;0.0784;1.07;0.99
2024-06-18;08:04:04;+34;0844;2244;2475;2022;01616;4648.80077N;00950.67043E;44.7;0.1163;0.0981;0.0885;0.96;0.99
2024-06-18;08:04:29;+34;0844;2253;2486;2029;01617;4648.80054N;00950.67067E;44.7;0.1138;0.0952;0.0863;0.97;0.98
2024-06-18;08:35:39;+34;0844;2049;2236;1808;01618;4648.80101N;00950.67143E;49.8;0.2100;0.1930;0.1876;0.40;0.94
2024-06-18;08:36:01;+34;0844;1953;2135;1723;01616;4648.80035N;00950.67042E;49.9;0.2470;0.2286;0.2246;0.34;0.90
2024-06-18;08:36:16;+34;0844;1895;2070;1671;01614;4648.80031N;00950.67009E;49.9;0.2703;0.2525;0.2482;0.30;0.91
2024-06-18;09:35:25;+34;0844;2316;2522;2044;01616;4648.80037N;00950.66869E;58.7;0.1494;0.1250;0.1129;0.98;0.98
2024-06-18;09:35:55;+34;0844;2293;2493;2025;01616;4648.80088N;00950.66945E;58.7;0.1581;0.1351;0.1210;0.94;0.99
2024-06-18;09:36:07;+34;0844;2237;2437;1977;01616;4648.80081N;00950.66922E;58.8;0.1793;0.1546;0.1416;0.83;0.99
2024-06-18;10:36:11;+40;0844;2374;2565;2073;01619;4648.80087N;00950.66960E;65.1;0.1461;0.1236;0.1113;0.95;0.99
2024-06-18;10:36:48;+40;0844;2367;2557;2068;01613;4648.80184N;00950.66983E;65.1;0.1489;0.1265;0.1135;0.95;0.99
2024-06-18;10:37:15;+40;0844;2394;2591;2096;01612;4648.80207N;00950.66986E;65.1;0.1386;0.1146;0.1013;1.10;0.99
2024-06-18;11:04:05;+41;0844;2404;2582;2080;01617;4648.80192N;00950.66987E;66.4;0.1379;0.1199;0.1101;0.79;0.99
2024-06-18;11:04:22;+41;0844;2398;2575;2070;01614;4648.80226N;00950.66960E;66.4;0.1402;0.1224;0.1145;0.71;0.97
2024-06-18;11:04:38;+41;0844;2403;2585;2077;01612;4648.80223N;00950.66942E;66.4;0.1383;0.1189;0.1114;0.76;0.96
2024-06-19;07:10:31;+24;0843;1632;1827;1489;00002;4648.80035N;00950.66931E;35.5;0.2533;0.2401;0.2393;0.20;0.81
2024-06-19;07:10:44;+24;0843;1622;1813;1479;01615;4648.80021N;00950.66817E;35.6;0.2573;0.2449;0.2435;0.19;0.84
2024-06-19;07:11:00;+24;0843;1619;1813;1479;01616;4648.80041N;00950.66743E;35.6;0.2588;0.2453;0.2439;0.21;0.84
2024-06-19;07:36:12;+32;0843;1752;1940;1574;01615;4648.80019N;00950.66969E;39.9;0.2511;0.2371;0.2357;0.22;0.84
2024-06-19;07:36:36;+32;0843;1747;1932;1570;01617;4648.80071N;00950.66869E;40.0;0.2535;0.2403;0.2378;0.23;0.89
2024-06-19;07:36:56;+32;0843;1759;1944;1578;0000M;4648.80074N;00950.66867E;40.1;0.2496;0.2367;0.2348;0.22;0.86
2024-06-19;08:06:25;+34;0842;1871;2047;1658;01616;4648.80122N;00950.66826E;45.0;0.2469;0.2338;0.2299;0.25;0.93
2024-06-19;08:07:15;+33;0842;1873;2052;1661;01618;4648.80061N;00950.66876E;45.2;0.2472;0.2329;0.2294;0.26;0.91
2024-06-19;08:37:42;+33;0843;2005;2183;1762;01613;4648.80096N;00950.66899E;50.1;0.2284;0.2128;0.2084;0.32;0.92
2024-06-19;08:37:57;+33;0843;1987;2164;1746;01612;4648.80078N;00950.66872E;50.2;0.2356;0.2197;0.2156;0.31;0.91
2024-06-19;08:38:16;+33;0843;1985;2166;1746;01612;4648.80052N;00950.66835E;50.2;0.2366;0.2192;0.2158;0.32;0.89
2024-06-19;09:30:53;+36;0843;2188;2372;1914;01619;4648.80216N;00950.66865E;58.1;0.1956;0.1755;0.1674;0.55;0.96
2024-06-19;09:31:10;+36;0843;2188;2372;1913;01619;4648.80167N;00950.66853E;58.1;0.1958;0.1756;0.1680;0.54;0.96
2024-06-19;09:31:28;+36;0843;2200;2384;1924;01620;4648.80143N;00950.66873E;58.1;0.1913;0.1715;0.1632;0.56;0.97
2024-06-19;10:04:24;+37;0843;2270;2460;1977;01618;4648.80187N;00950.66738E;62.2;0.1782;0.1550;0.1487;0.64;0.93
2024-06-19;10:04:42;+37;0843;2267;2452;1974;01616;4648.80164N;00950.66758E;62.2;0.1795;0.1580;0.1501;0.63;0.95
2024-06-19;10:05:02;+37;0843;2289;2468;1994;01613;4648.80161N;00950.66794E;62.3;0.1710;0.1523;0.1413;0.67;0.99
2024-06-19;10:35:52;+38;0843;2360;2548;2050;01620;4648.80171N;00950.66833E;65.0;0.1515;0.1296;0.1213;0.78;0.96
2024-06-19;10:36:11;+38;0843;2344;2526;2038;01618;4648.80222N;00950.66877E;65.1;0.1577;0.1375;0.1266;0.77;0.99
2024-06-19;10:36:26;+38;0843;2334;2524;2030;01617;4648.80218N;00950.66912E;65.1;0.1616;0.1382;0.1302;0.76;0.95
2024-06-19;11:05:43;+39;0843;2339;2524;2031;01618;4648.80365N;00950.67089E;66.5;0.1632;0.1408;0.1319;0.75;0.96
2024-06-19;11:05:59;+39;0843;2340;2526;2038;01618;4648.80365N;00950.67110E;66.5;0.1628;0.1401;0.1288;0.82;0.98
2024-06-19;11:06:16;+39;0843;2337;2524;2035;01617;4648.80351N;00950.67107E;66.5;0.1640;0.1409;0.1301;0.81;0.98
2024-06-19;12:07:26;+33;0844;2259;2440;1951;01615;4648.79996N;00950.67100E;64.7;0.1899;0.1680;0.1654;0.49;0.85
2024-06-19;14:00:20;+28;0844;2040;2219;1780;01615;4648.80021N;00950.66772E;50.2;0.2154;0.2005;0.2009;0.25;0.75
2024-06-19;14:13:33;+25;0844;1958;2141;1721;01621;4648.79963N;00950.66914E;48.1;0.2340;0.2176;0.2175;0.26;0.78
2024-06-19;14:27:37;+25;0844;1978;2158;1736;01615;4648.79964N;00950.66845E;45.8;0.2120;0.2001;0.2007;0.19;0.73
2024-06-19;14:45:18;+24;0844;1833;2011;1619;01618;4648.79919N;00950.67004E;42.8;0.2445;0.2325;0.2343;0.15;0.64
2024-06-19;14:56:19;+25;0844;1624;1789;1442;01612;4648.80182N;00950.67208E;41.0;0.3094;0.2973;0.2995;0.12;0.62
2024-07-05;07:02:44;+24;0843;2299;2577;2098;01609;4648.79136N;00950.67723E;33.2;0.0413;0.0316;0.0334;0.75;0.59
2024-07-05;07:03:13;+24;0843;2301;2579;2092;01604;4648.79364N;00950.67684E;33.3;0.0413;0.0315;0.0352;0.57;0.36
2024-07-05;07:03:26;+24;0843;2299;2575;2098;01605;4648.79360N;00950.67724E;33.3;0.0419;0.0325;0.0338;0.77;0.64
2024-07-05;07:44:43;+27;0843;2437;2670;2168;01610;4648.79482N;00950.67242E;40.4;0.0407;0.0329;0.0306;1.00;0.94
2024-07-05;07:44:53;+27;0843;2433;2665;2164;01611;4648.79513N;00950.67092E;40.4;0.0419;0.0342;0.0319;0.96;0.94
2024-07-05;07:45:02;+27;0843;2428;2671;2158;01612;4648.79531N;00950.67077E;40.4;0.0433;0.0328;0.0337;0.89;0.69
2024-07-05;08:05:26;+26;0843;2369;2579;2051;01610;4648.79555N;00950.66990E;43.9;0.0744;0.0663;0.0759;-.--;-.--
2024-07-05;08:05:35;+26;0843;2370;2588;2067;01609;4648.79561N;00950.67016E;43.9;0.0742;0.0639;0.0706;0.19;0.13
2024-07-05;08:05:47;+26;0843;2338;2551;2026;01608;4648.79522N;00950.67108E;43.9;0.0838;0.0740;0.0846;-.--;-.--
2024-07-05;08:38:22;+27;0843;2542;2759;2213;01611;4648.79525N;00950.67114E;49.2;0.0430;0.0308;0.0317;1.09;0.70
2024-07-05;08:38:52;+27;0843;2554;2766;2222;01608;4648.79641N;00950.66875E;49.3;0.0397;0.0290;0.0287;1.15;0.79
2024-07-05;09:05:58;+26;0843;2583;2785;2232;01606;4648.79062N;00950.67988E;53.5;0.0428;0.0313;0.0309;1.15;0.80
2024-07-05;09:06:14;+26;0843;2570;2779;2219;01613;4648.79161N;00950.68436E;53.5;0.0469;0.0331;0.0357;0.98;0.59
2024-07-05;09:06:25;+26;0843;2578;2786;2224;01611;4648.79148N;00950.68469E;53.6;0.0445;0.0312;0.0339;0.97;0.56
2024-07-05;09:28:20;+28;0842;2597;2794;2232;01606;4648.79561N;00950.67097E;56.7;0.0466;0.0340;0.0349;1.03;0.71
2024-07-05;09:0.:00;+28;0842;2598;2792;2219;01611;4648.79544N;00950.67127E;57.0;0.0470;0.0351;0.0402;0.57;0.31
2024-07-05;09:28:53;+28;0842;2594;2787;2224;01617;4648.79552N;00950.67525E;56.8;0.0478;0.0363;0.0380;0.82;0.63
2024-07-05;09:29:15;+28;0843;2612;2806;2242;01612;4648.79576N;00950.67058E;56.8;0.0419;0.0305;0.0313;1.04;0.72
2024-07-09;07:35:17;+23;0846;2248;2518;2059;01602;4648.79094N;00950.68427E;38.4;0.0819;0.0635;0.0585;1.18;0.93
2024-07-09;07:35:24;+23;0846;2248;2526;2066;01603;4648.79131N;00950.68330E;38.4;0.0820;0.0616;0.0565;1.31;0.93
2024-07-09;07:35:36;+23;0846;2248;2517;2057;01602;4648.79189N;00950.68188E;38.4;0.0822;0.0640;0.0593;1.15;0.93
2024-07-09;08:03:13;+26;0832;2318;2572;2101;01608;4648.78940N;00950.68623E;43.1;0.0882;0.0671;0.0582;1.46;0.98
2024-07-09;08:03:22;+26;0846;2309;2561;2078;01609;4648.79211N;00950.67888E;43.1;0.0882;0.0686;0.0650;1.08;0.89
2024-07-09;08:03:33;+26;0846;2297;2550;2090;01611;4648.79419N;00950.67291E;43.1;0.0919;0.0716;0.0611;1.43;0.99
2024-07-09;10:10:52;+32;0846;2453;2670;2152;01599;4648.79365N;00950.67567E;61.5;0.1067;0.0806;0.0721;1.38;0.95
2024-07-09;10:11:00;+32;0846;2438;2653;2140;01596;4648.79363N;00950.67518E;61.5;0.1122;0.0862;0.0771;1.32;0.96
2024-07-09;10:11:08;+32;0846;2429;2644;2129;01594;4648.79369N;00950.67476E;61.5;0.1155;0.0892;0.0816;1.22;0.94
2024-07-10;07:15:24;+24;0847;2011;2314;1932;01603;4648.79213N;00950.67766E;34.9;0.1262;0.0987;0.0849;1.39;0.99
2024-07-10;07:15:36;+24;0847;2009;2307;1927;01607;4648.79303N;00950.67834E;34.9;0.1270;0.1007;0.0865;1.34;0.99
2024-07-10;07:15:50;+24;0847;2019;2317;1936;01615;4648.79364N;00950.67712E;35.0;0.1244;0.0984;0.0840;1.38;0.99
2024-07-10;07:16:07;+24;0847;2019;2321;1935;0000M;4648.79335N;00950.67668E;35.0;0.1248;0.0976;0.0845;1.37;0.99
2024-07-10;07:38:54;+26;0846;2089;2371;1965;01613;4648.79303N;00950.67248E;38.9;0.1307;0.1032;0.0893;1.34;0.99
2024-07-10;07:39:30;+26;0846;2101;2390;1981;01610;4648.79353N;00950.67255E;39.0;0.1278;0.0986;0.0845;1.45;0.99
2024-07-10;08:38:37;+26;0846;2251;2516;2053;01592;4648.79463N;00950.66711E;48.7;0.1325;0.0990;0.0874;1.46;0.96
2024-07-10;08:38:51;+27;0846;2254;2513;2053;01591;4648.79366N;00950.66767E;48.8;0.1317;0.1000;0.0875;1.44;0.97
2024-07-10;08:39:02;+27;0846;2258;2513;2059;01592;4648.79289N;00950.66891E;48.8;0.1305;0.1001;0.0854;1.49;0.99
2024-07-10;09:09:08;+25;0846;2287;2537;2065;01609;4648.79482N;00950.67501E;53.4;0.1400;0.1060;0.0933;1.42;0.97
2024-07-10;09:09:22;+25;0846;2297;2548;2078;01611;4648.79531N;00950.67693E;53.5;0.1366;0.1026;0.0884;1.53;0.98
2024-07-10;09:09:38;+25;0846;2290;2540;2064;01615;4648.79571N;00950.67940E;53.5;0.1392;0.1053;0.0939;1.39;0.96
2024-07-10;09:09:53;+25;0846;2286;2535;2066;01616;4648.79560N;00950.67875E;53.5;0.1407;0.1070;0.0932;1.45;0.97
2024-07-11;07:08:19;+23;0847;1984;2288;1916;01616;4648.79479N;00950.67138E;33.6;0.1240;0.0983;0.0845;1.35;0.99
2024-07-11;07:08:28;+23;0847;1977;2288;1912;01612;4648.79400N;00950.67406E;33.6;0.1262;0.0985;0.0857;1.36;0.98
2024-07-11;07:08:40;+23;0847;1981;2291;1913;01613;4648.79302N;00950.67518E;33.6;0.1253;0.0979;0.0856;1.34;0.98
2024-07-11;07:29:42;+25;0846;2093;2383;1972;01622;4648.79318N;00950.66995E;37.2;0.1188;0.0927;0.0814;1.33;0.98
2024-07-11;07:30:15;+25;0846;2096;2388;1978;01614;4648.79460N;00950.66853E;37.3;0.1186;0.0918;0.0799;1.38;0.98
2024-07-11;07:30:34;+25;0846;2103;2395;1984;01614;4648.79481N;00950.66904E;37.4;0.1169;0.0903;0.0783;1.41;0.98
2024-07-11;07:57:00;+25;0846;2175;2452;2017;01606;4648.78862N;00950.68843E;41.8;0.1221;0.0936;0.0817;1.41;0.97
2024-07-11;07:57:40;+26;0846;2171;2449;2018;01601;4648.79086N;00950.68307E;41.9;0.1240;0.0948;0.0817;1.46;0.98
2024-07-11;07:57:53;+26;0846;2176;2449;2023;01601;4648.79126N;00950.68258E;42.0;0.1227;0.0950;0.0802;1.49;0.99
2024-07-11;08:12:11;+26;0846;2209;2482;2036;01615;4648.78935N;00950.68996E;44.3;0.1250;0.0945;0.0824;1.47;0.97
2024-07-11;08:12:27;+26;0846;2206;2475;2034;01614;4648.78968N;00950.68827E;44.4;0.1262;0.0966;0.0832;1.46;0.98
2024-07-11;08:12:39;+27;0846;2208;2475;2036;0000M;4648.79028N;00950.68608E;44.4;0.1257;0.0967;0.0826;1.47;0.99
2024-07-11;08:38:01;+27;0846;2221;2482;2036;01602;4648.79271N;00950.68719E;48.5;0.1417;0.1086;0.0932;1.47;0.98
2024-07-11;08:38:24;+27;0846;2237;2501;2045;01602;4648.78911N;00950.69235E;48.6;0.1366;0.1031;0.0900;1.46;0.97
2024-07-11;08:38:44;+27;0846;2238;2500;2044;01604;4648.78900N;00950.69283E;48.6;0.1365;0.1036;0.0905;1.44;0.97
2024-07-11;08:39:33;+27;0846;2247;2505;2052;01610;4648.78946N;00950.69133E;48.8;0.1341;0.1025;0.0879;1.48;0.98
2024-07-11;08:53:33;+26;0846;2257;2514;2056;01596;4648.79501N;00950.65970E;51.0;0.1403;0.1063;0.0915;1.50;0.98
2024-07-11;08:53:56;+27;0846;2256;2512;2055;01608;4648.79463N;00950.66910E;51.0;0.1409;0.1071;0.0920;1.50;0.98
2024-07-11;09:15:24;+27;0846;2323;2570;2091;01650;4648.79292N;00950.70601E;54.2;0.1304;0.0977;0.0849;1.51;0.97
2024-07-11;09:15:46;+27;0846;2321;2567;2092;0000M;4648.79446N;00950.69515E;54.3;0.1313;0.0988;0.0846;1.54;0.98
2024-07-11;09:16:05;+27;0846;2308;2556;2083;0000M;4648.79454N;00950.69337E;54.3;0.1361;0.1024;0.0882;1.52;0.98
2024-07-11;09:30:30;+27;0846;2309;2548;2082;01610;4648.79377N;00950.67389E;56.3;0.1431;0.1100;0.0924;1.53;0.99
