,Date,Time,Temperature,Pression,RAW465,RAW540,RAW619,Altitude,Latitude,Longitude,Elevation,AOT465,AOT540,AOT619,Alpha,RÂ²,Datetime,N,E,sza_rad,air_mass,day_of_year,E0
0,2024-06-04,08:27:17,23,841,2672.457727822128,2856.871734483717,2270.6618473862645,01567,4648.80426N,00950.64183E,48.2,0.0502,0.0363,0.0432,0.55,0.23,2024-06-04 08:27:17,46.81340433333333,9.8440305,0.7295476273336297,1.3414248083444893,156,0.9706421070742003
1,2024-06-04,08:27:30,23,841,2643.6108440985277,2806.3896879674157,2245.9359470517497,01568,4648.80390N,00950.64164E,48.3,0.0584,0.0497,0.0515,0.45,0.58,2024-06-04 08:27:30,46.81339833333333,9.844027333333333,0.7278022980816354,1.3393368082771915,156,0.9706421070742003
2,2024-06-04,08:27:41,23,841,2711.6070700184428,2824.9341132183017,2287.1457809426074,01567,4648.80456N,00950.63991E,48.3,0.0395,0.0448,0.0379,0.13,0.04,2024-06-04 08:27:41,46.81340933333333,9.8439985,0.7278022980816354,1.3393368082771915,156,0.9706421070742003
3,2024-06-04,09:01:07,23,841,2702.3348573929998,2890.869847443674,2291.2667643316936,01621,4648.79615N,00950.67731E,53.5,0.0576,0.0374,0.0445,0.93,0.38,2024-06-04 09:01:07,46.813269166666664,9.844621833333333,0.6370451769779303,1.2440025693531807,156,0.9706421070742003
4,2024-06-04,09:01:37,23,841,2671.4274819748566,2829.0550966073874,2273.7525849280787,0000M,4648.79483N,00950.67820E,53.6,0.0671,0.0549,0.0508,0.98,0.95,2024-06-04 09:01:37,46.81324716666666,9.844636666666666,0.635299847725936,1.2423999331154147,156,0.9706421070742003
5,2024-06-04,09:36:21,25,841,2756.9378872983866,2881.597634818231,2308.780943735308,01603,4648.79308N,00950.67733E,58.4,0.0537,0.0484,0.0447,0.64,1.0,2024-06-04 09:36:21,46.813218,9.844622166666667,0.5515240436302081,1.1740852143018525,156,0.9706421070742003
6,2024-06-04,09:36:56,25,841,2681.729940447571,2869.234684650974,2313.9321729716653,01610,4648.79309N,00950.67767E,58.5,0.0774,0.0522,0.0429,2.07,0.97,2024-06-04 09:36:56,46.813218166666665,9.844627833333334,0.5497787143782138,1.1728276966140088,156,0.9706421070742003
7,2024-06-04,09:37:12,25,841,2749.7261663674863,2885.718618207317,2317.0229105134795,01612,4648.79266N,00950.67877E,58.5,0.0562,0.0474,0.0418,1.03,1.0,2024-06-04 09:37:12,46.813211,9.844646166666667,0.5497787143782138,1.1728276966140088,156,0.9706421070742003
8,2024-06-14,11:58:05,22,843,1879.9234700994834,1991.4181075353672,1619.7693160824215,01597,4648.79136N,00950.66164E,65.2,0.4147,0.3931,0.3734,0.37,1.0,2024-06-14 11:58:05,46.813189333333334,9.844360666666667,0.43284165449459366,1.101591550405211,166,0.9686564527563639
9,2024-06-18,06:32:50,23,845,1927.4578971506223,2145.407316388983,1768.385809175705,0000M,4648.80063N,00950.67063E,29.1,0.1345,0.1273,0.1260,0.23,0.88,2024-06-18 06:32:50,46.813343833333334,9.8445105,1.0629055144645467,2.0561942236841197,170,0.9681145319742257
