,Date,Time,Temperature,Pression,RAW465,RAW540,RAW619,Altitude,Latitude,Longitude,Elevation,AOT465,AOT540,AOT619,Alpha,RÂ²,Datetime,N,E,sza_rad,air_mass,day_of_year,E0
2,2024-06-04,08:27:41,24,841,2609.61273113857,2810.5106713565015,2262.419880608093,01568,4648.80336N,00950.64453E,48.3,0.0459,0.0403,0.0389,0.58,0.92,2024-06-04 08:27:41,46.81338933333333,9.8440755,0.7278022980816354,1.3393368082771915,156,0.9706421070742003
5,2024-06-04,09:00:37,24,841,2651.852810876699,2835.2365716910163,2285.085289248065,01619,4648.79066N,00950.68560E,53.4,0.0487,0.0439,0.0389,0.78,0.99,2024-06-04 09:00:37,46.81317766666667,9.84476,0.6387905062299246,1.2456131448333823,156,0.9706421070742003
6,2024-06-04,09:35:14,23,841,2697.1836281566425,2880.56738897096,2309.8111895825796,01616,4648.79352N,00950.67664E,58.3,0.0467,0.0390,0.0361,0.91,0.96,2024-06-04 09:35:14,46.813225333333335,9.844610666666666,0.5532693728822026,1.1753490156903816,156,0.9706421070742003
12,2024-06-18,07:02:19,29,844,2267.293721460673,2552.3839570520836,2110.2875047581574,01616,4648.80153N,00950.66908E,34.2,0.0727,0.0589,0.0513,1.22,0.99,2024-06-18 07:02:19,46.81335883333333,9.844484666666666,0.9738937226128358,1.779095485479867,170,0.9681145319742257
13,2024-06-18,07:02:32,29,844,2261.0961076434687,2547.2192788710795,2102.0240196685513,01618,4648.80068N,00950.66978E,34.2,0.0744,0.0602,0.0536,1.15,0.98,2024-06-18 07:02:32,46.813344666666666,9.844496333333334,0.9738937226128358,1.779095485479867,170,0.9681145319742257
14,2024-06-18,07:02:45,30,844,2252.8326225538626,2538.9557937814734,2094.793470215146,01619,4648.80031N,00950.66968E,34.2,0.0767,0.0622,0.0557,1.13,0.98,2024-06-18 07:02:45,46.8133385,9.844494666666666,0.9738937226128358,1.779095485479867,170,0.9681145319742257
15,2024-06-18,07:35:10,33,844,2379.883705806556,2646.381099946353,2174.3295142026045,01610,4648.80113N,00950.67048E,39.8,0.0744,0.0581,0.0488,1.48,0.99,2024-06-18 07:35:10,46.81335216666667,9.844508,0.8761552845011534,1.5622322248899199,170,0.9681145319742257
16,2024-06-18,07:35:26,33,844,2374.7190276255524,2639.1505504929473,2164.000157840597,01609,4648.80084N,00950.67022E,39.8,0.0760,0.0600,0.0519,1.34,0.99,2024-06-18 07:35:26,46.81334733333333,9.844503666666666,0.8761552845011534,1.5622322248899199,170,0.9681145319742257
17,2024-06-18,07:35:46,33,844,2377.817834534155,2646.381099946353,2171.230707294002,01609,4648.80052N,00950.66998E,39.9,0.0755,0.0584,0.0499,1.45,0.99,2024-06-18 07:35:46,46.813342,9.844499666666668,0.8744099552491591,1.5589688586362294,170,0.9681145319742257
18,2024-06-18,08:03:45,34,844,2349.928572356734,2592.6684468639132,2118.5509898477635,01615,4648.80111N,00950.67001E,44.6,0.1064,0.0880,0.0784,1.07,0.99,2024-06-18 08:03:45,46.813351833333336,9.844500166666666,0.7923794804054256,1.4241909164025093,170,0.9681145319742257
19,2024-06-18,08:04:04,34,844,2317.9075676345105,2556.5156995968864,2088.595856397941,01616,4648.80077N,00950.67043E,44.7,0.1163,0.0981,0.0885,0.96,0.99,2024-06-18 08:04:04,46.81334616666667,9.844507166666666,0.7906341511534313,1.4216768991924045,170,0.9681145319742257
20,2024-06-18,08:04:29,34,844,2327.2039883603175,2567.877991595095,2095.8264058513464,01617,4648.80054N,00950.67067E,44.7,0.1138,0.0952,0.0863,0.97,0.98,2024-06-18 08:04:29,46.81334233333333,9.844511166666667,0.7906341511534313,1.4216768991924045,170,0.9681145319742257
21,2024-06-18,08:35:39,34,844,2116.485118575362,2309.6440825449044,1867.547630250978,01618,4648.80101N,00950.67143E,49.8,0.2100,0.1930,0.1876,0.4,0.94,2024-06-18 08:35:39,46.813350166666666,9.844523833333334,0.7016223593017206,1.3092500648210947,170,0.9681145319742257
23,2024-06-18,08:36:16,34,844,1957.4130306004445,2138.1767669355777,1726.0354480914737,01614,4648.80031N,00950.67009E,49.9,0.2703,0.2525,0.2482,0.3,0.91,2024-06-18 08:36:16,46.8133385,9.8445015,0.6998770300497261,1.307323862032507,170,0.9681145319742257
24,2024-06-18,09:35:25,34,844,2392.2789334409654,2605.063674498322,2111.3204403943582,01616,4648.80037N,00950.66869E,58.7,0.1494,0.1250,0.1129,0.98,0.98,2024-06-18 09:35:25,46.8133395,9.844478166666667,0.5462880558742251,1.1703314012736825,170,0.9681145319742257
25,2024-06-18,09:35:55,34,844,2368.521413808348,2575.1085410485002,2091.6946633065436,01616,4648.80088N,00950.66945E,58.7,0.1581,0.1351,0.1210,0.94,0.99,2024-06-18 09:35:55,46.813348,9.844490833333333,0.5462880558742251,1.1703314012736825,170,0.9681145319742257
26,2024-06-18,09:36:07,34,844,2310.6770181811053,2517.2641454212576,2042.113752768907,01616,4648.80081N,00950.66922E,58.8,0.1793,0.1546,0.1416,0.83,0.99,2024-06-18 09:36:07,46.813346833333334,9.844487,0.5445427266222309,1.169092568600368,170,0.9681145319742257
27,2024-06-18,10:36:11,40,844,2452.1892003406097,2649.479906854955,2141.27557384418,01619,4648.80087N,00950.66960E,65.1,0.1461,0.1236,0.1113,0.95,0.99,2024-06-18 10:36:11,46.81334783333333,9.844493333333334,0.43458698374658816,1.10248233188678,170,0.9681145319742257
28,2024-06-18,10:36:48,40,844,2444.9586508872044,2641.216421765349,2136.1108956631765,01613,4648.80184N,00950.66983E,65.1,0.1489,0.1265,0.1135,0.95,0.99,2024-06-18 10:36:48,46.813364,9.844497166666667,0.43458698374658816,1.10248233188678,170,0.9681145319742257
29,2024-06-18,10:37:15,40,844,2472.8479130646247,2676.336233396175,2165.0330934767976,01612,4648.80207N,00950.66986E,65.1,0.1386,0.1146,0.1013,1.1,0.99,2024-06-18 10:37:15,46.81336783333333,9.844497666666667,0.43458698374658816,1.10248233188678,170,0.9681145319742257
30,2024-06-18,11:04:05,41,844,2483.1772694266324,2667.039812670368,2148.5061232975854,01617,4648.80192N,00950.66987E,66.4,0.1379,0.1199,0.1101,0.79,0.99,2024-06-18 11:04:05,46.81336533333333,9.844497833333334,0.4118977034706617,1.0912709211533682,170,0.9681145319742257
31,2024-06-18,11:04:22,41,844,2476.979655609428,2659.809263216963,2138.1767669355777,01614,4648.80226N,00950.66960E,66.4,0.1402,0.1224,0.1145,0.71,0.97,2024-06-18 11:04:22,46.813371,9.844493333333334,0.4118977034706617,1.0912709211533682,170,0.9681145319742257
