,Date,Time,Temperature,Pression,RAW465,RAW540,RAW619,Altitude,Latitude,Longitude,Elevation,AOT465,AOT540,AOT619,Alpha,RÂ²,Datetime,N,E,sza_rad,air_mass,day_of_year,E0
4,2024-06-04,09:01:37,23,841,2671.4274819748566,2829.0550966073874,2273.7525849280787,0000M,4648.79483N,00950.67820E,53.6,0.0671,0.0549,0.0508,0.98,0.95,2024-06-04 09:01:37,46.81324716666666,9.844636666666666,0.635299847725936,1.2423999331154147,156,0.9706421070742003
5,2024-06-04,09:36:21,25,841,2756.9378872983866,2881.597634818231,2308.780943735308,01603,4648.79308N,00950.67733E,58.4,0.0537,0.0484,0.0447,0.64,1.0,2024-06-04 09:36:21,46.813218,9.844622166666667,0.5515240436302081,1.1740852143018525,156,0.9706421070742003
7,2024-06-04,09:37:12,25,841,2749.7261663674863,2885.718618207317,2317.0229105134795,01612,4648.79266N,00950.67877E,58.5,0.0562,0.0474,0.0418,1.03,1.0,2024-06-04 09:37:12,46.813211,9.844646166666667,0.5497787143782138,1.1728276966140088,156,0.9706421070742003
8,2024-06-14,11:58:05,22,843,1879.9234700994834,1991.4181075353672,1619.7693160824215,01597,4648.79136N,00950.66164E,65.2,0.4147,0.3931,0.3734,0.37,1.0,2024-06-14 11:58:05,46.813189333333334,9.844360666666667,0.43284165449459366,1.101591550405211,166,0.9686564527563639
10,2024-06-18,06:33:22,23,845,1851.0206600717659,2065.8712724015245,1736.3648044534814,01614,4648.80067N,00950.67079E,29.2,0.1551,0.1464,0.1354,0.47,0.99,2024-06-18 06:33:22,46.8133445,9.844513166666667,1.0611601852125523,2.0497698083202853,170,0.9681145319742257
11,2024-06-18,06:33:42,23,845,1903.7003775180049,2127.8474105735704,1779.7481011739133,01613,4648.80069N,00950.67045E,29.3,0.1420,0.1324,0.1237,0.48,1.0,2024-06-18 06:33:42,46.81334483333333,9.8445075,1.059414855960558,2.0433916182045806,170,0.9681145319742257
14,2024-06-18,07:04:22,29,845,2276.59014218648,2585.437897410508,2131.9791531183732,01617,4648.80039N,00950.66927E,34.5,0.0891,0.0593,0.0519,1.9,0.93,2024-06-18 07:04:22,46.81333983333333,9.844487833333334,0.9686577348568529,1.7655172821352758,170,0.9681145319742257
15,2024-06-18,07:05:14,29,845,2361.2908643549426,2561.6803777778905,2126.8144749373696,01618,4648.80002N,00950.66917E,34.7,0.0693,0.0651,0.0538,0.88,0.91,2024-06-18 07:05:14,46.813333666666665,9.844486166666666,0.9651670763528641,1.7566063047083746,170,0.9681145319742257
19,2024-06-18,08:05:13,33,845,2235.2727167384496,2549.285150143481,2092.7275989427444,01618,4648.80097N,00950.66920E,44.8,0.1636,0.1085,0.0943,1.94,0.94,2024-06-18 08:05:13,46.8133495,9.844486666666667,0.788888821901437,1.4191760573924812,170,0.9681145319742257
20,2024-06-18,08:05:58,32,845,2279.688949095082,2573.0426697760986,2099.9581483961497,01616,4648.80096N,00950.66990E,45.0,0.1504,0.1024,0.0922,1.72,0.92,2024-06-18 08:05:58,46.813349333333335,9.844498333333334,0.7853981633974483,1.414213562373095,170,0.9681145319742257
21,2024-06-18,08:36:41,33,844,2127.8474105735704,2344.7638941757305,1920.227347697217,01616,4648.80126N,00950.66996E,50.0,0.2296,0.1907,0.1742,0.97,0.97,2024-06-18 08:36:41,46.813354333333336,9.844499333333333,0.6981317007977318,1.3054072893322786,170,0.9681145319742257
24,2024-06-18,09:37:14,35,844,2247.6679443728585,2475.946719973227,2033.850267679301,01616,4648.80094N,00950.66883E,58.9,0.2290,0.1787,0.1536,1.4,0.99,2024-06-18 09:37:14,46.813349,9.8444805,0.5427973973702365,1.1678599095827218,170,0.9681145319742257
